model,yil,km,renk,fiyat,il
Volkswagen Bora 1.6 Trendline,2001,194.000 ,Beyaz,65.000 TL,Sakarya
Opel Astra 1.6 Edition,2015,73.000 ,Siyah,147.500 TL,Mersin
Honda Civic 1.6 i-VTEC Elegance,2011,127.000 ,Beyaz,169.000 TL,Sakarya
Tofaş Şahin 1.6,1995,42.000 ,Beyaz,30.000 TL,Manisa
Renault R 9 1.4 Broadway,1994,99.000 ,-,52.500 TL,Diyarbakır
Opel Corsa 1.2 Essentia,2015,71.000 ,-,115.000 TL,Konya
Opel Insignia 1.6 T Edition,2011,116.000 ,Beyaz,148.000 TL,Sivas
Volkswagen Jetta 1.2 TSi BlueMotion Comfortline,2017,61.000 ,Beyaz,222.000 TL,Ankara
Ford Focus 1.6 TDCi Trend,2007,242.000 ,-,79.500 TL,Edirne
Ford Focus 1.5 TDCi Titanium,2015,105.000 ,Lacivert,183.000 TL,İstanbul
Renault Latitude 1.5 dCi Expression,2011,98.500 ,Gri (Gümüş),140.000 TL,Elazığ
Lada Samara 1.5,2001,102.800 ,Şampanya,33.500 TL,İstanbul
Citroen C5 1.6 HDi SX,2011,152.000 ,Sarı,105.000 TL,Balıkesir
Toyota Corolla 1.33 Life,2017,29.000 ,Beyaz,160.000 TL,Yalova
Volkswagen Jetta 1.6 TDi Comfortline,2011,213.037 ,-,123.500 TL,Ankara
Renault Megane 1.5 dCi Expression,2011,153.000 ,-,109.000 TL,İstanbul
Ford B-Max 1.6 TDCi Trend,2019,90.000 ,-,100.000 TL,Hatay
Nissan Note 1.5 dCi Tekna,2014,130.000 ,-,125.000 TL,İstanbul
Fiat Linea 1.4 Fire Active Plus,2014,80.100 ,-,90.000 TL,Konya
Peugeot 307 1.4 HDi XR,2004,395.000 ,Gri,47.800 TL,Konya
Tofaş Şahin 5 Vites,1993,999.999 ,-,20.000 TL,Aydın
Fiat Uno 1.4 ie S,1998,250.000 ,Beyaz,29.000 TL,Gaziantep
Renault Clio 1.0 SCe Joy,2020,5.440 ,Mavi (metalik),149.000 TL,Karaman
Renault Clio 1.5 dCi Icon,2015,85.000 ,-,158.500 TL,İstanbul
Audi A3 Sedan 1.6 TDI Ambiente,2015,44.000 ,Siyah,350.000 TL,Muğla
Opel Corsa 1.4 Twinport Enjoy,2012,85.453 ,Gri (Gümüş),128.000 TL,Bursa
Renault Megane 1.5 dCi Dynamique,2004,167.000 ,Siyah,47.000 TL,Bolu
Opel Corsa 1.2 Twinport Essentia,2014,65.000 ,-,115.000 TL,Afyonkarahisar
Hyundai i20 1.4 MPI Style,2015,101.500 ,Beyaz,159.000 TL,Ankara
Volkswagen Bora 1.9 TDi Comfortline,2001,271.000 ,-,69.750 TL,Şanlıurfa
Hyundai Accent Era 1.5 CRDi-VGT Select,2008,241.000 ,-,85.000 TL,Şanlıurfa
Audi A6 Sedan 3.0 TDI Quattro,2005,376.000 ,-,142.500 TL,Ankara
Tofaş Doğan SLX ie,1997,139.000 ,Lacivert,42.500 TL,Muğla
Tofaş Şahin 1.6,2000,230.000 ,-,27.000 TL,Sakarya
Volvo S40 1.8,2001,268.000 ,-,70.000 TL,Hatay
Hyundai i20 1.4 CRDi Jump,2013,77.700 ,Beyaz,120.000 TL,Ankara
Citroen C4 1.6 HDi SX,2006,238.000 ,Siyah,76.000 TL,Kahramanmaraş
Fiat Tempra 1.6 SX AK,1997,200.000 ,-,37.000 TL,Eskişehir
Fiat Uno 70 S,1997,268.000 ,-,27.000 TL,Ankara
Fiat Egea 1.3 Multijet Easy,2017,93.000 ,Beyaz,138.000 TL,Bolu
Opel Astra 1.6 Enjoy,2008,158.000 ,-,102.000 TL,Adıyaman
Skoda Fabia 1.2 Optimal,2012,130.000 ,Füme,97.000 TL,Elazığ
Citroen C3 Picasso 1.6 HDi SX,2011,83.000 ,-,118.500 TL,Adana
Toyota Auris 1.4 D-4D Elegant,2008,195.700 ,Gri (metalik),115.000 TL,Kocaeli
Renault Symbol 1.0 SCe Joy,2017,40.000 ,-,112.500 TL,İstanbul
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2017,87.000 ,Beyaz,347.000 TL,Siirt
Fiat Albea 1.2 Dynamic,2005,172.000 ,Gri (Gümüş),63.000 TL,Batman
Seat Cordoba 1.6 Signo,2000,207.000 ,Mavi,46.000 TL,Ankara
Renault Clio 1.5 dCi Joy,2016,64.000 ,-,135.000 TL,İstanbul
BMW 3 Serisi 318i Standart,1993,188.570 ,-,65.000 TL,İstanbul
Volkswagen Polo 1.4 Basicline,2004,191.000 ,Beyaz,64.500 TL,Konya
Renault R 9 1.4 Broadway GTE,1990,320.000 ,-,28.000 TL,Sinop
Opel Vectra 1.6 Elegance,2004,215.000 ,-,88.000 TL,Bolu
Volkswagen Passat 1.4 TSi BlueMotion Comfortline,2012,229.000 ,Beyaz,200.000 TL,Isparta
Volkswagen Bora 1.6 Pacific,2004,268.000 ,-,63.500 TL,Mardin
Mercedes - Benz C 200 Elegance,1998,270.000 ,Gri (Gümüş),96.000 TL,İzmir
Toyota Corolla 1.6 Elegant,2008,248.000 ,-,109.500 TL,Osmaniye
Volkswagen Polo 1.2 TDi Trendline,2014,140.000 ,-,96.000 TL,Uşak
Honda Civic 1.5 EX,1993,198.363 ,Kırmızı,41.500 TL,Ankara
Ford Fiesta 1.25 Trend X,2014,54.000 ,-,129.850 TL,İzmir
Volvo S60 2.0 T,2005,300.000 ,-,62.999 TL,Tekirdağ
Renault Megane 1.6 Dynamique,2004,237.200 ,Diğer,62.500 TL,Gaziantep
Renault Fluence 1.5 dCi Privilege,2011,127.000 ,Gri,143.750 TL,Ordu
Renault Fluence 1.5 dCi Touch,2014,142.000 ,-,140.000 TL,Elazığ
Hyundai Accent Blue 1.4 CVVT Prime,2012,51.111 ,-,129.000 TL,Ankara
Hyundai Accent 1.3 LS,2000,298.000 ,-,40.000 TL,İstanbul
Peugeot 406 1.6 SR,2001,219 ,Gri,48.000 TL,Konya
Chevrolet Cruze 1.6 LS,2010,207.000 ,-,89.500 TL,Bursa
Ford Focus 1.6 Ti-VCT Style,2013,80.000 ,-,158.500 TL,Kırıkkale
Tofaş Şahin 5 Vites,1993,206.000 ,-,18.750 TL,Ordu
BMW 3 Serisi 320i ED M Plus,2014,113.000 ,-,369.000 TL,Konya
Tofaş Şahin 1.6,1999,60.000 ,-,25.000 TL,Yozgat
Honda Civic 1.6 i-VTEC Eco Executive,2017,59.800 ,-,241.000 TL,Osmaniye
Ford Focus 1.6 TDCi Ghia,2005,271.000 ,Mavi (metalik),86.000 TL,İstanbul
Dacia Solenza 1.4 Clima,2004,170.000 ,-,40.000 TL,Balıkesir
Fiat Albea 1.3 Multijet Active,2006,235.000 ,-,58.750 TL,İstanbul
Renault Clio 1.5 dCi Joy,2015,124.000 ,-,120.000 TL,İstanbul
Honda Civic 1.6 i-VTEC ECO Elegance,2017,125.000 ,-,227.000 TL,İstanbul
Toyota Corolla 1.6 GLi,1995,276.000 ,-,41.500 TL,Şanlıurfa
Hyundai Accent Era 1.4 Team,2008,90.100 ,Gri (Gümüş),110.000 TL,Balıkesir
Toyota Corolla 1.4 D-4D Comfort,2012,149.796 ,Beyaz,146.000 TL,Mersin
Opel Vectra 2.0 CD,1997,225.000 ,-,55.500 TL,Elazığ
Volkswagen Golf 1.2 TSi Comfortline,2015,66.250 ,-,218.000 TL,İstanbul
Fiat Egea 1.3 Multijet Easy,2017,113.000 ,Beyaz,118.000 TL,İzmir
Skoda Octavia 1.6 TDI Elegance CR,2011,233.000 ,-,130.000 TL,Ankara
Hyundai Accent Blue 1.4 CVVT Mode,2012,109.800 ,Beyaz,131.500 TL,Antalya
Seat Leon 1.6 TDI Style,2017,42.000 ,Beyaz,226.000 TL,İstanbul
Fiat Albea Sole 1.3 Multijet Premio,2012,145.000 ,-,73.500 TL,Aksaray
Fiat Palio 1.4 EL,2000,254.000 ,-,44.000 TL,Antalya
Opel Astra 1.6 Elegance,2001,142.250 ,-,89.950 TL,Kütahya
Audi A3 Sportback 1.4 TFSI Attraction,2008,158.000 ,Siyah,130.000 TL,İstanbul
Renault Clio 1.5 dCi Joy,2015,87.000 ,Beyaz,132.500 TL,Ankara
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2016,40.000 ,Gri,320.000 TL,Bayburt
Honda Civic 1.6 i-VTEC Eco Executive,2015,39.100 ,-,205.000 TL,Malatya
Hyundai i20 1.4 CVVT Select,2012,161.000 ,Gri (metalik),79.999 TL,Batman
Renault Fluence 1.5 dCi Touch Plus,2013,188.500 ,-,123.500 TL,Van
Fiat Siena 1.2 S,2000,284.345 ,Beyaz,39.500 TL,İstanbul
Ford Focus 1.5 TDCi Trend X,2016,102.000 ,Beyaz,190.000 TL,Diyarbakır
Toyota Yaris 1.5 Fun Special,2019,2.300 ,Beyaz,195.000 TL,Ankara
Renault R 9 1.4 Broadway GTE,1993,350.000 ,-,27.000 TL,Şanlıurfa
Renault Fluence 1.5 dCi Touch Plus,2013,240.000 ,Siyah,116.500 TL,Gaziantep
Hyundai i30 1.4 CVVT Team,2009,179.500 ,-,101.000 TL,Erzurum
Opel Astra 1.3 CDTI Edition,2013,270.000 ,-,135.000 TL,Adıyaman
Opel Astra 1.6 Enjoy Elegance,2008,156.000 ,-,112.000 TL,Çanakkale
BMW 5 Serisi 535i,1989,19 ,-,60.000 TL,Ankara
Renault Megane 1.5 dCi Exception,2010,140.000 ,Gri,122.000 TL,İstanbul
Seat Leon 1.6 TDI Style,2017,79.250 ,Beyaz,218.000 TL,Şanlıurfa
Skoda Octavia 1.6 GLX,2000,257.000 ,-,66.500 TL,Kocaeli
Volkswagen Jetta 1.6 TDi Trendline,2012,212.000 ,Gri (Gümüş),139.650 TL,İstanbul
Chevrolet Kalos 1.4 SX,2005,106.000 ,-,65.500 TL,Şanlıurfa
BMW 3 Serisi 330d Standart,2004,420.000 ,-,114.000 TL,Hatay
Volkswagen Golf 1.4 TSi Comfortline,2017,29.000 ,-,267.000 TL,İzmir
Toyota Corolla 1.8 Hybrid Dream,2020,10 ,-,310.000 TL,İzmir
Nissan Almera 1.5 Tekna,2004,143.000 ,Mavi,80.000 TL,Mersin
Renault Clio 1.4 RNA,2001,249.500 ,Bordo,53.000 TL,Sakarya
Peugeot 206 1.4 Comfort,2010,172.000 ,-,87.000 TL,İstanbul
Citroen C-Elysee 1.6 HDi Exclusive,2013,228.000 ,Beyaz,79.000 TL,Antalya
Toyota Corolla 1.6 Sol Special,2001,304.000 ,Gri (Gümüş),57.000 TL,Çorum
Hyundai i20 1.4 CRDi Jump,2013,235.000 ,Gri (Gümüş),82.500 TL,Şanlıurfa
Renault Megane 1.6 Joy,2019,20.000 ,-,179.500 TL,Muğla
Volkswagen Jetta 1.4 TSi BlueMotion Comfortline,2015,81.000 ,Beyaz,187.000 TL,Düzce
Ford Focus 1.6 Ti-VCT Titanium,2015,60.000 ,Füme,195.000 TL,Çanakkale
Opel Astra 1.6 Comfort,2001,179.000 ,Mavi,62.000 TL,Kahramanmaraş
Renault R 9 1.4 Broadway RN,1998,155.000 ,Gri,42.000 TL,Karabük
Seat Leon 1.5 EcoTSI FR,2020,1.500 ,-,280.000 TL,Trabzon
Lada Samara 1.5,1993,100.000 ,-,22.000 TL,Kocaeli
Fiat Albea 1.4 Fire Active,2007,173.000 ,Gri (Gümüş),60.000 TL,Kastamonu
Ford Focus 1.6 TDCi Trend,2007,380 ,-,72.500 TL,İstanbul
Tofaş Doğan SLX,1993,190.000 ,Beyaz,39.250 TL,Sivas
Fiat Palio 1.4 RT,2001,238.000 ,Mavi,41.000 TL,Kocaeli
Volkswagen Polo 1.6,1999,252.000 ,-,43.000 TL,İstanbul
Ford Escort 1.6 CL,1995,220.000 ,Beyaz,27.000 TL,İstanbul
Ford Focus 1.6 TDCi Ghia,2005,289.000 ,Bordo,82.500 TL,Erzurum
Ford Focus 1.6 Collection,2011,213.000 ,-,96.000 TL,Ankara
Opel Astra 1.6 Edition,2020,48.000 ,Beyaz,162.250 TL,Ankara
BMW 3 Serisi 320d Premium,2006,155.000 ,-,160.000 TL,Kayseri
Toyota Corolla 1.4 D-4D Touch,2017,26.000 ,-,210.000 TL,İstanbul
Ford Focus 1.6 Ti-VCT Trend X,2017,34.000 ,Beyaz,172.000 TL,Batman
Renault Clio 1.5 dCi Authentique,2008,250.000 ,-,70.000 TL,Manisa
Volkswagen Jetta 1.2 TSi Comfortline,2014,65.050 ,Gri (metalik),198.000 TL,İstanbul
Ford Focus 1.6 TDCi Trend X,2015,108.000 ,-,160.000 TL,Hatay
Renault Clio 1.5 dCi Touch,2016,80.000 ,Beyaz,140.000 TL,İstanbul
Volkswagen Jetta 1.2 TSi Comfortline,2011,170.000 ,-,126.000 TL,Kilis
Renault R 12 Toros,1995,133.000 ,Beyaz,32.500 TL,Düzce
Lada Samara 1.5,1990,250.000 ,Beyaz,13.000 TL,Zonguldak
Peugeot 307 1.4 XR,2005,162.000 ,-,67.000 TL,Adana
Seat Leon 1.6 Stylance,2008,185 ,-,113.000 TL,Niğde
Fiat Palio 1.4 Fire Premio Sole,2010,100.000 ,-,74.500 TL,Edirne
Honda Civic 1.6 i-VTEC ES,2000,195.000 ,-,65.500 TL,Tokat
Volkswagen Passat 1.4 TSi BlueMotion Highline,2016,74.000 ,-,352.000 TL,Kocaeli
Renault Fluence 1.5 dCi Extreme,2011,240.000 ,Beyaz,106.750 TL,Aksaray
Opel Tigra 1.6,1999,206.000 ,Lacivert,37.000 TL,Edirne
Renault R 9 1.4 Broadway RN,1999,250.000 ,Mavi,37.500 TL,Samsun
Renault Clio 1.4 RNA,2000,322.000 ,-,43.000 TL,Kocaeli
Opel Astra 1.6 CD,2000,90.150 ,Lacivert,78.500 TL,İstanbul
Ford Focus 1.6 TDCi Trend X,2014,116.000 ,-,165.000 TL,Şanlıurfa
Citroen C5 1.6 e-HDi Dynamique,2012,205 ,-,137.000 TL,Şanlıurfa
Opel Corsa 1.3 CDTI Essentia,2006,229.000 ,-,72.500 TL,Sakarya
Volkswagen Passat 1.6 TDi BlueMotion Trendline,2014,135.000 ,-,217.000 TL,Samsun
Renault Symbol 1.5 dCi Joy,2017,92.000 ,Beyaz,125.750 TL,Trabzon
Toyota Corolla 1.6 GLi,1996,213.500 ,-,55.000 TL,Sivas
Fiat Linea 1.3 Multijet Active Plus,2013,156.000 ,-,90.000 TL,İstanbul
Ford Focus 1.8 TDCi Ghia,2001,194.000 ,-,63.500 TL,İzmir
Honda Civic 1.6 i-VTEC ECO Elegance,2015,145.000 ,-,189.000 TL,Malatya
Mercedes - Benz E 180 Elite,2014,80.000 ,Beyaz,465.000 TL,Kastamonu
Ford Fiesta 1.4 Comfort,2006,251.000 ,Beyaz,63.000 TL,Giresun
Fiat Linea 1.3 Multijet Easy,2015,103.500 ,Beyaz,96.250 TL,Gaziantep
Toyota Corolla 1.33 Comfort,2011,194.000 ,Füme,112.000 TL,Tekirdağ
Renault Megane 1.3 Tce Joy,2020,5 ,-,210.000 TL,Çanakkale
Fiat Stilo 1.9 JTD Dynamic,2004,307.000 ,-,40.000 TL,Konya
Tofaş Şahin 1.4 ie,2000,116.000 ,-,25.000 TL,İzmir
Peugeot 206 1.6 XT,2000,297.500 ,-,42.000 TL,Ankara
Citroen C4 Grand Picasso 1.6 HDi SXPK,2008,290.000 ,-,145.000 TL,İstanbul
Dacia Sandero 0.9 TCe Stepway Easy-R,2019,9.000 ,-,137.000 TL,Hatay
Hyundai Accent 1.3 LS,2000,334.000 ,Beyaz,35.250 TL,Karaman
Chevrolet Aveo 1.4 LS,2012,150.000 ,Siyah,80.000 TL,Bolu
Ford Focus 1.6 Ghia,2001,179.000 ,-,75.000 TL,Kocaeli
Chevrolet Kalos 1.2 SE,2005,144.500 ,-,63.500 TL,Ankara
Volkswagen Passat 1.9 TDi,1998,310.000 ,Yeşil,60.000 TL,Ankara
Citroen C5 1.6 HDi SX PK,2010,241.000 ,Siyah,115.000 TL,İstanbul
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2016,140.000 ,Beyaz,290.000 TL,Ağrı
Geely Familia 1.5 Comfort,2009,168.000 ,Siyah,54.000 TL,Kırıkkale
Ford Focus 1.6 TDCi Trend X,2013,185 ,-,134.000 TL,Hatay
Toyota Auris 1.4 D-4D Comfort Extra,2011,139.000 ,Füme,124.500 TL,Tekirdağ
Mercedes - Benz C 200 Classic,1995,462.000 ,Beyaz,72.000 TL,Kayseri
Peugeot 206 1.4 XR,2000,196.000 ,Kırmızı,58.500 TL,Şanlıurfa
Fiat Egea 1.6 Multijet Comfort,2017,79.500 ,Beyaz,164.000 TL,İstanbul
Hyundai i20 1.4 CRDi Team,2011,179.000 ,-,87.500 TL,Bursa
Fiat Linea 1.3 Multijet Pop,2015,40.000 ,-,138.000 TL,İstanbul
Hyundai Accent Era 1.4 Select,2006,170.000 ,-,75.000 TL,Hatay
Citroen C3 1.6 SX,2003,181.777 ,-,61.000 TL,Eskişehir
Volkswagen Golf 1.6 Sport,1998,159.000 ,Lacivert,49.500 TL,Bursa
BMW 3 Serisi 320d Edition Comfort,2011,194.000 ,Siyah,236.000 TL,Antalya
Volkswagen Jetta 1.6 TDi Trendline,2014,141.000 ,-,156.000 TL,Antalya
Opel Astra 1.6 Enjoy,2006,184.500 ,-,85.000 TL,İzmir
Renault Clio 1.5 dCi Joy,2016,83.000 ,Beyaz,125.000 TL,İstanbul
Renault Megane 1.5 dCi GT-Line,2012,48.400 ,-,162.500 TL,İstanbul
Tofaş Kartal SLX ie,2000,95.000 ,-,31.000 TL,İzmir
Volkswagen Golf 1.6 Primeline,2008,270.000 ,Gri,104.000 TL,Ağrı
Toyota Yaris 1.4 D-4D Fun,2014,143.000 ,-,110.000 TL,Bursa
Peugeot 206 1.4 HDi X-Design,2005,295.000 ,-,40.500 TL,Sinop
Toyota Auris 1.33 Life,2014,72.000 ,Beyaz,131.500 TL,Muğla
Volkswagen Golf 1.6 TDi Trendline,2011,153.000 ,Siyah,169.000 TL,İstanbul
Toyota Corolla 1.6 Advance,2017,55.000 ,Beyaz,228.000 TL,Adana
Honda Civic 1.6 i-VTEC ECO Elegance,2012,117.000 ,-,177.000 TL,Kocaeli
Toyota Corolla 1.6 Comfort,2010,108.000 ,-,127.000 TL,Manisa
Renault R 12 Toros,1999,18.300 ,Beyaz,47.000 TL,Burdur
Volkswagen Passat 2.0 TDi Comfortline,2007,195.000 ,-,135.000 TL,Ağrı
Renault Clio 1.2 Joy,2019,20.000 ,Füme,125.750 TL,Bursa
Fiat Palio 1.6 HL Weekend,1999,171.000 ,Gri (Gümüş),40.000 TL,Aydın
Volkswagen Jetta 1.6 TDi Trendline,2015,105.000 ,-,195.000 TL,Diyarbakır
Ford Focus 1.6 TDCi Titanium X,2009,159.900 ,Siyah,135.000 TL,Osmaniye
Volkswagen Polo 1.6,1998,140.000 ,Kırmızı,57.000 TL,Gaziantep
Honda Civic 1.6 i-VTEC ECO Elegance,2018,28.000 ,-,149.000 TL,Van
Skoda Fabia 1.4 Comfort,2001,180.000 ,Mavi,53.500 TL,Adıyaman
Renault Clio 1.5 dCi Alize,2005,248.160 ,Beyaz,39.000 TL,Ankara
Toyota Corolla 1.6 GLi,1996,270.000 ,-,63.000 TL,Balıkesir
Seat Leon 1.6 TDI Xcellence,2019,13.500 ,-,312.000 TL,İstanbul
Renault Fluence 1.5 dCi Privilege,2010,257.000 ,-,97.000 TL,Şanlıurfa
Volkswagen Passat 1.8 T Comfortline,2004,307.000 ,Gri (Gümüş),99.000 TL,Konya
Opel Astra 1.6 Edition Plus,2016,65.500 ,Beyaz,160.000 TL,Mersin
Honda Accord 2.0 Executive,2009,232.500 ,-,130.000 TL,İstanbul
Fiat Linea 1.3 Multijet Emotion,2009,181.100 ,Siyah,84.500 TL,Muğla
Hyundai Elantra 1.6 D-CVVT Style,2017,35.000 ,Beyaz,205.000 TL,Yozgat
Seat Leon 1.2 TSI Style,2016,53.000 ,Beyaz,184.500 TL,İstanbul
Dacia Sandero 1.5 dCi Ambiance,2014,70.000 ,-,115.000 TL,Aydın
Renault Clio 0.9 TCe Joy,2019,26.800 ,-,134.750 TL,Sakarya
Peugeot 407 2.0 HDi Executive Premium,2006,218.000 ,Füme,71.500 TL,Antalya
Toyota Auris 1.33 Life,2013,129.000 ,Beyaz,130.000 TL,Kocaeli
Toyota Corolla 1.6 Terra,2002,330.000 ,-,63.500 TL,Denizli
Volkswagen Golf 1.4 TSi Comfortline,2013,117.500 ,Beyaz,197.500 TL,Ankara
Seat Leon 1.4 TSI FR,2015,122.000 ,Kırmızı,198.000 TL,Rize
Volkswagen Polo 1.4 TDi Trendline,2004,355.000 ,Beyaz,62.500 TL,Ankara
Renault Symbol 1.5 dCi Authentique,2012,185.500 ,Beyaz,80.000 TL,Gaziantep
Fiat Egea 1.4 Fire Urban Plus,2020,2.500 ,Gri,145.000 TL,Şanlıurfa
Opel Astra 1.6 Edition Plus,2017,24.000 ,Gri (metalik),172.500 TL,Elazığ
Ford Escort 1.6 CL,1995,175.000 ,-,36.500 TL,Hatay
Fiat Linea 1.3 Multijet Pop,2015,159.000 ,-,98.000 TL,Balıkesir
Dacia Logan 1.6 MCV Ambiance,2007,220.000 ,Gri (Gümüş),58.000 TL,Van
Opel Corsa 1.3 CDTI Essentia,2011,168.000 ,-,91.000 TL,İstanbul
Volkswagen Passat 2.0 TDi Highline,2010,199.000 ,-,185.000 TL,Şanlıurfa
Peugeot 301 1.6 VTi Allure,2012,98.000 ,-,123.750 TL,Kocaeli
Renault Megane 1.5 Blue DCI Touch,2020,180 ,-,285.000 TL,Ankara
Volkswagen Passat 1.6 TDi BlueMotion Impression,2018,36.000 ,Beyaz,315.000 TL,Bursa
Kia Rio 1.5 Trend,2004,255.000 ,Gri,43.000 TL,İzmir
Fiat Uno 70 SX,1998,315.000 ,Bordo,26.000 TL,Yozgat
Volkswagen Polo 1.6 Classic,2001,161.748 ,Gri (Gümüş),55.000 TL,İstanbul
Citroen C4 Picasso 1.6 THP Exclusive,2011,74.000 ,-,145.000 TL,Balıkesir
Fiat Linea 1.3 Multijet Active,2011,273.000 ,-,70.000 TL,Tekirdağ
Volkswagen Golf 1.6 Primeline,2003,287.000 ,-,69.500 TL,Kırıkkale
Renault Symbol 1.5 dCi Joy,2014,166.000 ,-,95.000 TL,Gaziantep
Volkswagen Golf 1.6 TDi BlueMotion Midline Plus,2014,202.000 ,Beyaz,175.000 TL,Gaziantep
Volkswagen Passat 1.6 Trendline,2010,110.000 ,Siyah,155.500 TL,Adıyaman
Honda Civic 1.6 i-VTEC Elegance,2011,163.000 ,Beyaz,145.000 TL,Düzce
Hyundai Getz 1.4 DOHC HY KLM,2006,206.000 ,-,77.000 TL,Adana
Opel Astra 1.3 CDTI Enjoy Plus,2012,111 ,-,111.000 TL,Batman
Ford Focus 1.8 TDCi Comfort,2004,207.000 ,-,56.000 TL,Bursa
Renault Symbol 1.5 dCi Expression,2009,97.500 ,Gri (Gümüş),85.000 TL,Elazığ
Skoda SuperB 1.6 TDI Prestige,2016,112.000 ,Beyaz,325.000 TL,Sakarya
Fiat Punto Grande 1.3 Multijet Active,2011,161.000 ,-,75.000 TL,İstanbul
Opel Astra 1.6 Edition Plus,2016,78.000 ,Beyaz,148.000 TL,Kahramanmaraş
Peugeot 207 1.4 HDi Comfort,2009,184.000 ,-,94.500 TL,Trabzon
Citroen C-Elysee 1.6 HDi Exclusive,2013,173.000 ,Füme,101.500 TL,Yalova
BMW 5 Serisi 520i Comfort,2013,15.000 ,Beyaz,459.000 TL,Aydın
Peugeot 208 1.6 BlueHDi Active,2016,147.000 ,-,118.000 TL,Adıyaman
Renault Clio 1.5 dCi Touch,2015,146.000 ,-,125.000 TL,Bursa
BMW 1 Serisi 116i Joy Edition,2011,162.000 ,-,162.750 TL,İstanbul
Volkswagen Polo 1.2 Trendline,2012,105.000 ,Beyaz,111.500 TL,Manisa
Kia Pro Ceed 1.6 CRDi Cool,2011,210.000 ,-,100.000 TL,İzmir
Hyundai i20 1.4 CRDi Style,2017,43.200 ,Kırmızı,165.000 TL,Bursa
Ford Fiesta 1.4 Titanium,2011,114.000 ,-,126.000 TL,Osmaniye
Mercedes - Benz B 180 BlueEFFICIENCY Prime,2012,44.000 ,Gri (Gümüş),240.000 TL,Eskişehir
Volkswagen Passat 1.4 TSi Comfortline,2008,149.000 ,Siyah,145.000 TL,Muğla
Citroen C-Elysee 1.6 HDi Attraction,2016,156.000 ,-,103.000 TL,Adana
Seat Ibiza 1.4 Reference,2015,80.000 ,Beyaz,118.000 TL,Manisa
Volkswagen Passat 1.4 TSi BlueMotion Trendline,2018,10.600 ,Siyah,305.000 TL,Hatay
Mercedes - Benz A 180 CDI BlueEFFICIENCY AMG,2017,67.000 ,Beyaz,355.000 TL,Hatay
Opel Astra 1.6 Edition Plus,2017,35.000 ,Beyaz,176.500 TL,Diyarbakır
Volkswagen Jetta 1.4 TSi Trendline,2012,136.000 ,-,154.500 TL,Adana
Opel Astra 1.6 Enjoy 111.Yıl,2010,157.000 ,Diğer,114.500 TL,İstanbul
Toyota Corolla 1.4 D-4D Advance,2013,96.000 ,-,160.500 TL,Kocaeli
Renault Clio 1.0 TCe Joy,2020,11 ,Beyaz,186.500 TL,Bursa
Seat Ibiza 1.0 EcoTSI Style,2018,36.300 ,Füme,159.000 TL,Tekirdağ
Opel Corsa 1.7 DTi Comfort,2003,178.500 ,-,45.000 TL,İstanbul
Renault Megane 1.5 dCi Sport Tourer Extreme,2013,158.000 ,-,110.900 TL,İstanbul
Fiat Linea 1.3 Multijet Pop,2015,307.000 ,Beyaz,68.750 TL,İstanbul
Volkswagen Passat 1.5 TSi Elegance,2020,1 ,Beyaz,575.000 TL,Ankara
Renault Symbol 1.5 dCi Authentique,2012,177.112 ,-,82.500 TL,İstanbul
Renault Megane 1.6 Extreme,2012,152.000 ,Beyaz,118.750 TL,Ağrı
Volkswagen Jetta 1.2 TSi Trendline,2011,116.000 ,-,140.000 TL,İzmir
Peugeot 301 1.6 HDi Active,2015,74.500 ,-,115.500 TL,Sivas
Ford Focus 1.5 TDCi Titanium,2015,92.000 ,-,207.000 TL,İstanbul
Volkswagen Golf 1.4 TSi Comfortline,2015,129.000 ,-,185.000 TL,Kocaeli
Fiat Punto EVO 1.3 Multijet Dynamic,2011,123.000 ,-,88.500 TL,İstanbul
BMW 3 Serisi 318Ci,2004,192.500 ,-,149.000 TL,İzmir
Renault Symbol 1.2 Expression,2009,115.750 ,Siyah,77.000 TL,İzmir
Toyota Corolla 1.6 Sol,2003,217.000 ,Gri (titanyum),95.000 TL,Kahramanmaraş
Mercedes - Benz C 200 Kompressor Avantgarde,2001,343.000 ,Gri,116.250 TL,İstanbul
Hyundai i20 1.4 CRDi Style,2016,31.000 ,-,172.000 TL,İzmir
BMW 3 Serisi 320i,1996,285.000 ,-,63.500 TL,Ankara
Peugeot 206 1.4 Premium,2004,154.600 ,-,62.000 TL,Osmaniye
Renault Megane 1.3 Tce Icon,2020,0 ,-,282.000 TL,Batman
Chevrolet Cruze 1.6 LS,2010,118.000 ,-,110.000 TL,İstanbul
Seat Ibiza 1.6 Signo,2000,255.300 ,Kırmızı,42.000 TL,İstanbul
Volkswagen Golf 1.6 FSi Sportline,2004,160.000 ,-,125.000 TL,İstanbul
Fiat Punto 1.4 Easy S&S,2012,292.000 ,-,75.500 TL,Sivas
Peugeot 407 1.6 HDi Comfort,2008,240.000 ,-,96.000 TL,Nevşehir
Volkswagen Jetta 1.6 FSi Midline,2007,275.000 ,Siyah,137.500 TL,Muğla
Ford Focus 1.5 TDCi Titanium,2016,99.000 ,-,217.000 TL,Bursa
